source,category,category_name,subcategory,part_number,description,unit_cost,price_status,price_kind,vendor,vendor_invoice,price_date,freight_unit,markup_flag,sell_unit,source_note
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,PVC COATED RIGID CONDUIT AND COUPLINGS - CAPITAL ELECTRIC,78401120002,ROBROY 3/4 IN PVC COATED RIGID - PER FOOT,10.6843,ok,receipt,Capital Electric,,,0,N,13.50068148,RECEIPT Capital Electric S062708764.001 7/13/26. HELD HIGH vs S062578548 $975.00 - count stock
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,PVC COATED RIGID CONDUIT AND COUPLINGS - CAPITAL ELECTRIC,78456412222,CRS CPR22 3/4 IN NO-THREAD COUPLING,12.3971,ok,receipt,Capital Electric,,,0,N,15.66497556,RECEIPT Capital Electric S061626533.001 3/23/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,"EMERGENCY STOP, PUSH BUTTONS AND ENCLOSURES - CAPITAL ELECTRIC",78590132012,"SQUARE D 9001KR9R E-STOP PUSH BUTTON, RED",136.9,ok,receipt,Capital Electric,,,0,N,172.98684,RECEIPT Capital Electric S062924393.001 8/3/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,"EMERGENCY STOP, PUSH BUTTONS AND ENCLOSURES - CAPITAL ELECTRIC",78590188000,SQUARE D 9001KA1 CONTACT BLOCK,45.26,ok,receipt,Capital Electric,,,0,N,57.190536,RECEIPT Capital Electric S062924393.001 8/3/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,"EMERGENCY STOP, PUSH BUTTONS AND ENCLOSURES - CAPITAL ELECTRIC",78351058010,HOFFMAN E1PB - ONE HOLE PUSH BUTTON ENCLOSURE,128.47,ok,receipt,Capital Electric,,,0,N,162.334692,RECEIPT Capital Electric S062924393.001 8/3/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,BREAKERS AND PANEL PARTS - CAPITAL ELECTRIC,78668536188,CUTLER-HAMMER CHF220 2P 20A BREAKER,63.27,ok,receipt,Capital Electric,,,0,N,79.947972,RECEIPT Capital Electric S062466215.001 6/16/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,CONDUIT NIPPLES AND COUPLINGS - NOLAND,1/2 BLK 150 MI SQR HD PLUG C,1/2 BLK 150 MI SQR HD PLUG CN,1.0413,ok,estimate,Noland,-,,0,N,1.31578668,OCR off a scanned Noland invoice - VERIFY
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,CONDUIT NIPPLES AND COUPLINGS - NOLAND,52,3/4 GALV TUBULAR COUP,3.1931,ok,receipt,Noland,,,0,N,4.03480116,RECEIPT Noland 396156 8/18/26. OCR read - VERIFY
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,CONDUIT NIPPLES AND COUPLINGS - NOLAND,6452112,3/4X1-1/2 GALV NIPPLE,2.9226,ok,receipt,Noland,,,0,N,3.69299736,RECEIPT Noland 395283 6/26/26
REV19_LIBRARY,1,CAT 1 - ELECTRICAL SUPPLY - NOLAND / WINSUPPLY AND CAPITAL ELECTRIC,CONDUIT NIPPLES AND COUPLINGS - NOLAND,645210,3/4X10 GALV NIPPLE,14.3853,ok,receipt,Noland,,,0,N,18.17726508,RECEIPT Noland 395283 6/26/26
