description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
WIRE LUBE,,12,14.0,14.51,14.51,14.51,2026-09-08,Wire lube
NITROGEN,,9,15.0,49.3,49.3,49.3,2026-09-03,Nitrogen
3/4 UNION,,8,11.0,31.33,44.75,44.74,2026-09-10,"3/4"" Union"
GUP BOX,,7,9.0,115.14,123.69,121.0,2026-09-02,GUP Box
REBAR,,7,1048.0,0.73,0.85,0.85,2026-09-02,Rebar
SENSOR WIRE,,6,1600.0,0.24,1.1,1.1,2026-09-02,Sensor Wire
CONCRETE 80LBS,,4,139.0,7.78,8.41,7.78,2026-04-29,Concrete 80lbs
GRAVEL,,4,10.0,7.09,188.6,188.6,2026-08-04,Gravel
3/4 COUPLING,,4,4.0,9.04,11.6,11.6,2026-09-10,"3/4"" Coupling"
ACETONE,,4,3.5,24.19,25.82,24.19,2026-09-03,Acetone
CONDUIT CLEAR 45,,4,5.0,17.97,19.3,17.97,2026-09-08,Conduit clear 45%
PAINT BRUSH,,4,13.0,2.18,24.66,6.48,2026-09-02,Paint Brush
3/4 X CLOSE,,3,4.0,1.93,1.94,1.93,2026-09-10,"3/4"" X Close"
3/4 X 6 NIPPLE,,3,4.0,3.66,5.46,5.46,2026-06-26,"3/4"" X 6"" Nipple"
POWER WIRE,,3,2000.0,0.42,0.42,0.42,2026-05-12,Power Wire
3/4 SEAL OFF,,3,4.0,28.67,45.22,40.02,2026-08-04,"3/4"" Seal Off"
3/4 PULL 90,,3,9.0,39.5,39.79,39.79,2026-09-03,"3/4"" Pull 90"
3/4 X 1/2 REDUCER,,3,5.0,1.89,2.4,2.4,2026-09-10,"3/4'' x 1/2"" Reducer"
4 X 6 BLACK STEEL NIPPLE,,3,3.0,34.36,38.84,38.84,2026-09-14,"4"" x 6"" Black Steel Nipple"
CONCRETE 60LBS,,3,22.0,6.3,6.3,6.3,2026-09-02,Concrete 60lbs
BONDO,,3,5.0,29.12,77.98,29.12,2026-09-02,Bondo
2 X CLOSE,,2,6.0,5.89,8.03,8.03,2026-06-25,"2"" X Close"
