row_id,item_id,description,qty,location
6267793174368132,,DOOR NODE 4,4.0,
1223233826131844,FIL-300HS-10,10 MIC 3/4 FILTER,1.0,
3756508616527748,GIL-CPS124130-3AR,TOPAZ/RUBY,1.0,
5634474476769156,GIL-M01118B003,NOZZLE CRADLE SCREW,1.0,
5352999500058500,GIL-M02870B008S,PASS PORT POWER SUPPLY,4.0,
6830743127789444,GIL-M04809B015,"3"" THERMAL PAPER ROLL CRIND",2.0,
1201243593576324,GIL-M04868B001,LOWER SIDE FRAME BRACK,1.0,
7147402476588932,GIL-M12547K001,ENCRYPTED CARD READER KIT,1.0,
3206752802639748,GIL-M12784B001,ADV BRACKET,3.0,
1377165454020484,GIL-M13124A001,AUXILLARY FEATURE PROCESSOR,3.0,
6918704058011524,GIL-MO1585A-001,PPU DATA CABLE,1.0,
3541004337483652,GIL-MO1668A002,INTERFACE CABLE,2.0,
1359573267976068,GIL-PA02710513,PASSPORT SCANNER,8.0,
8114972709031812,GIL-PA03270103A,PASSPORT DISPLAY,2.0,
8677922662453124,GIL-PA04060013,EPSON PASSPORT PRINTER,2.0,
7094625918455684,GIL-Q11542-52,Pump Loop Cable 10',1.0,
2028076337663876,GIL-Q12476-01,Crind Printer Control,1.0,
2265570849263492,GIL-T15849-G1,Mod Hyd Interface N/V,1.0,
576720988999556,GIL-T16513-G7,POWER SUPPLY,1.0,
6206220523212676,GIL-T17418,ADV BACK LIGHT REG BRD,2.0,
2335939593441156,GIL-T18708-G1,BACKLIGHT REG BRD ADV,1.0,
3426655128194948,GIL-W03690-G4,DOOR CABLE ASSY,7.0,
7156198569611140,GRD-188-241-5,Syphon Check Valve,1.0,
5720236383735684,GRD-TCBK3333,Sump Lid Bolt Down Kit,1.0,
6986873778933636,GRD-US-FPI-125D,Fill Pipe I.D. DSL,3.0,
1357374244720516,GRD-US-FPI-125K,KERO FILL I.D. TAG,2.0,
5860973872091012,GRD-US-FPI-125P,FILL PIPE ID PUL,1.0,
8112773685776260,GRD-US-FPI-27,FILL PIPE ID MUL,3.0,
3811484197916548,VDR-329338-001,TRANSFORMER/POWER SUPPLY,1.0,
7083630802177924,VDR-514100-110,V.R. MONITOR PAPER,1.0,
286449919266692,GIL-M01922A001,E-500 PUMP NODE,7.0,1.0
3641051837235076,GIL-M05835A001/004,DOOR NODE 4,4.0,1.0
4015993360682884,GIL-M05838A002,5 GRADE PPU W/O PANEL,1.0,1.0
7675168057921412,GIL-M06194K002,PPU 3 GRADE SINGLE 500S,1.0,1.0
7710352430010244,GIL-M12803A003,DOOR NODE,2.0,1.0
2080852895797124,GIL-M12803A009,DOOR NODE 5 SIX DIGIT,1.0,1.0
