group,part_number,core_part_number,alt_part_number,description,price,manufacturer,notes
CIMTEK,300HS-10,,70059,10 Micron Hydrosorb Particulate Removal And Water Detection Spin-On Petroleum Dispenser Filter 1 Inch-12 Thread - 3/4 Inch Flow (70059),9.45,CIM-TEK Filtration,
CIMTEK,300MB-10,,70122,10 Micron Multi-Fuel Ultimate Defense Particulate Removal And Water Or Phase Separation Detection Spin-On Petroleum Dispenser Filter 1 Inch-12 Thread - 3/4 Inch Flow (70122),11.48,CIM-TEK Filtration,
CIMTEK,400HA-05,,70991,5 Micron High Alcohol Microglass Ultimate Defense Particulate Removal Spin-On Petroleum Dispenser Filter 1-1/2 Inch-16 Thread - 1 Inch Flow (70991),23.1,CIM-TEK Filtration,
CIMTEK,400HS-10,,70060,10 Micron Hydrosorb Particulate Removal And Water Detection Spin-On Petroleum Dispenser Filter 1-1/2 Inch-16 Thread - 1 Inch Flow (70060),10.09,CIM-TEK Filtration,
CIMTEK,400HS-30,,70065,30 Micron Hydrosorb Particulate Removal And Water Detection Spin-On Petroleum Dispenser Filter 1-1/2 Inch-16 Thread - 1 Inch Flow (70065),10.5,CIM-TEK Filtration,Diesel Only
CIMTEK,400MB-10,,70120,10 Micron Multi-Fuel Ultimate Defense Particulate Removal And Water Or Phase Separation Detection Spin-On Petroleum Dispenser Filter 1-1/2 Inch-16 Thread - 1 Inch Flow (70120),12.19,CIM-TEK Filtration,
CIMTEK,450MB-10,,70023,"10 Micron Multi-Fuel Ultimate Defense Particulate Removal And Water Or Phase Separation Detection Spin-On Petroleum Dispenser Filter, 1-1/2 Inch-16 Thread - 1 Inch Flow (70023)",15.75,CIM-TEK Filtration,
CIMTEK,450HS-10,,70075,"10 Micron Hydrosorb Particulate Removal And Water Detection Spin-On Petroleum Dispenser Filter, 1-1/2 Inch-16 Thread - 1 Inch Flow (70075)",14.7,CIM-TEK Filtration,
CIMTEK,475MB-10,,70111,10 Micron Multi-Fuel Ultimate Defense Particulate Removal And Water Detection Or Phase Separation Extended Spin-On Petroleum Dispenser Filter 1-1/2 Inch-16 Thread - 1 Inch Flow (70111),22.05,CIM-TEK Filtration,
CIMTEK,800HS-30,,70068,30 Micron Hydrosorb Particulate Removal And Water Detection High Volume Spin-On Petroleum Dispenser Filter 40 GPM Max Flow 1-1/2 Inch-16 Thread (70068),26.25,CIM-TEK Filtration,
DCI,750701,,,Vue-T-Ful Pole-Mounted Black Single Bucket Windshield Service Center With 9 Inch Square Self-Serve/Full Service Panel Removeable Water Bucket Squeegee And Mounting Hardware,97.21,"Retail Space Solutions, LLC",
DCI,793160,,,750701 Bucket Brackets 2 Per Pack,18.9,"Retail Space Solutions, LLC",
DCI,75890199,,,55 Gallon Black Waste Container With Open Top And Truck Stop Amenity Side Pod,376.6,"Retail Space Solutions, LLC",
COMPX,TC-PL,,,Tank Commander With Opw Low Profile Fill Cap And Four Number Changeable Combination Padlock,580.05,Compx,
COMPX,TC-PL-V,,,Tank Commander With Orange Vapor Cap And Four Number Changeable Combination Padlock Supplier Part Tc-Pl-V,486.81,Compx,
CONTITECH,53233712400869,,20553695,3/4 Inch x 8 Foot Yellow Flexsteel Futura Ethan-ALL E85 Dispensing Hose Male x Male Ends UL Listed (20553695),205.8,ContiTech,
CONTITECH,53233712420869,,20553765,3/4 Inch x 8 Inch Yellow Flexsteel Futura Ethan-ALL E85 Whip Hose Male x Male Ends UL Listed (20553765),79.8,ContiTech,
CONTITECH,53233812400869,,20754759,3/4 Inch x 8 Foot Flexsteel Futura Low Permeation Hose Male x Male Ends (20754759),110.52,ContiTech,
CONTITECH,53233812420869,,20754608,3/4 Inch X 8 Inch Male X Male Flexsteel Futura Low Permeation Whip Hose (20754608),46.87,ContiTech,
CONTITECH,53236242800100,,20022270,7/8 Inch X 12 Inch Black Flexsteel Futura Vapor Assist Whip Hose Male X Male Ends (20022270),74.1,ContiTech,
CONTITECH,53236242800800,,20022282,7/8 Inch X 8 Foot Black Flexsteel Futura Vapor Assist Hose Male X Male Swivel Ends (20022282),138.48,ContiTech,
CONTITECH,GY1X8MXM,,,1 Inch x 8 Foot Black Hardwall Hose Male x Male Zinc Ends. UL330 And ULC Listed.,50.43,Source Fabrication,(2) 8' Hoses and Hose Retractor is specification
CONTITECH,GY3/4X4MXM,,,3/4 Inch x 4 Foot Black Hardwall Hose Male x Male Zinc Ends. UL330 And ULC Listed.,26.82,Source Fabrication,
CONTITECH,GY3/4X8MXM,,,3/4 Inch x 8 Foot Black Hardwall Hose Male x Male Zinc Ends. UL330 And ULC Listed.,42.41,Source Fabrication,
CONTITECH,GY3/4X8MXMWHIP,,,3/4 Inch x 8 Inch Black Hardwall Whip Hose Male x Male Zinc Ends. UL330 And ULC Listed.,12.64,Source Fabrication,Spacer Hose (Alternate Descritption)
CONTITECH,GY3/4X9MXM,,,3/4 Inch x 9 Foot Black Hardwall Hose Male x Male Zinc Ends. UL330 And ULC Listed.,45.38,Source Fabrication,
EMCO WHEATON,494096,,,CARB EVR Stainless Steel Fill Riser Seal,128.13,Emco Wheaton,
EMCO WHEATON,494118P,,,Push Drain Assembly With Screen CARB EVR,52.5,EMCO WHEATON,
EMCO WHEATON,494466EVR,,,"Primary Replacement Kit, A1004EVR-211A",604.8,Emco Wheaton,
EMCO WHEATON,494467EVR,,,Primary Replacement Kit A1004-211S,598.5,Emco Wheaton,
EMCO WHEATON,494551,,,Drain Assembly A1004 Poly Spill Containment,76.65,Emco Wheaton,
EMCO WHEATON,494698,,,Drain Plug Kit Includes 3 Plugs,116.55,Emco Wheaton,
EMCO WHEATON,494875,,,Drain Adapter Kit- 2.26 Inch Top Diameter 494551 Drain,47.25,Emco Wheaton,
EMCO WHEATON,563593,,,Lid Gasket For 12 Inch Monitor Well,12.6,Emco Wheaton,
EMCO WHEATON,563980,,,"12 Inch Montoring Well Cover, Bolt Down, Ductile Iron",76.65,Emco Wheaton,
EMCO WHEATON,567177,,,12 Inch Cast Iron A0717 Round Cover Only,45.15,Emco Wheaton,
EMCO WHEATON,568961,,,Triple Wiper Seal A1005-505C Series,27.3,Emco Wheaton,
EMCO WHEATON,569227,,,Triple Wiper Seal For A1004-215 Series Cover,35.7,Emco Wheaton,
EMCO WHEATON,570012,,,Lid Seal A1004-316 Series,24.15,Emco Wheaton,
EMCO WHEATON,571815,,,Triple Wiper Seal For A1004-210/Slimline Series Cover,27.3,Emco Wheaton,
