part_number,description,qty,unit,sell
VR CABLE B88760EQ,Veeder-Root direct-bury cable (Belden 88760 equivalent),750,FT,
IBNPP,"4x4 IN black steel nipple, short riser",2,EA,
4X6 BLK STL NIPL IMP,4x6 IN black steel nipple,3,EA,
104A-1200WT,"OPW 12 IN watertight bolt-down cast iron manhole, cast iron ring, galv skirt (monitoring wells)",2,EA,289.26
FL100BLACK-SK12,"Fibrelite FL100 40 IN black composite manhole cover, frame & 12 IN skirt, 1-piece",3,EA,3572.81
104A-1800,"OPW 18 IN 104 series lay-in cast iron manhole, cast iron ring, galv skirt",6,EA,196.97
104A-1200,OPW 12 IN cast iron manhole,1,EA,166.8
71SO-410C,OPW 4 IN 71SO series dual-point CARB EVR overfill prevention valve and drop tube,3,EA,728.56
1C-3112D,"OPW 5 gal EDGE series doublewall spill containment manhole, drain valve (fill)",3,EA,1678.8
61SALP-1020-EVR,"OPW 4 IN bronze low profile swivel fill adapter, top seal, EVR",3,EA,235.3
634TT-7085-EVR,"OPW 4 IN Duratuff top seal fill cap, grey, EVR/E85",3,EA,37.38
1C-3112P,"OPW 5 gal EDGE series doublewall spill containment manhole, drain plug (vapor)",2,EA,1518.36
61VSA-1020-EVR,"OPW 4 IN bronze Stage I vapor recovery swivel adapter, EVR",2,EA,333.06
1711T-7085-EVR,"OPW 4 IN Duratuff top seal vapor cap, orange, EVR",2,EA,39.89
7000133446,3M Scotchcast electrical connector sealing pack (3570G-N),3,EA,7.25
53-S-DT3,Custom 3 IN round cast aluminum in-ground tank/product ID marker - Diesel Tank #3,1,EA,
53-S-PT2,Custom 3 IN round cast aluminum in-ground tank/product ID marker - Premium Tank #2,1,EA,
53-S-RT1,Custom 3 IN round cast aluminum in-ground tank/product ID marker - Regular Tank #1,1,EA,
